t-ab	t̪ˠ a bˠ
t-órang-útan	ˈ t̪ˠ oː  ɾˠ a  ŋ u  t̪ˠ ə n̻ˠ
b'órang-útan	ˈ bˠ oː  ɾˠ a  ŋ u  t̪ˠ ə n̻ˠ
n-órang-útan	ˈ n̻ˠ oː  ɾˠ a  ŋ u  t̪ˠ ə n̻ˠ
d'órang-útan	ˈ d̪ˠ oː  ɾˠ a  ŋ u  t̪ˠ ə n̻ˠ
m'órang-útan	ˈ mˠ oː  ɾˠ a  ŋ u  t̪ˠ ə n̻ˠ
n-ordaíonn	n̻ˠ a ɾˠ d̪ˠ ia n̻ˠ
b'ordaithe	bˠ a ɾˠ d̪ˠ iː
n-ordaithe	n̻ˠ a ɾˠ d̪ˠ iː
d'ordaithe	d̪ˠ a ɾˠ d̪ˠ iː
m'ordaithe	mˠ a ɾˠ d̪ˠ iː
n-ordóidh	n̻ˠ a ɾˠ d̪ˠ o j
b'orduithe	bˠ a ɾˠ d̪ˠ ə hʲ ə
n-orduithe	n̻ˠ a ɾˠ d̪ˠ ə hʲ ə
d'orduithe	d̪ˠ a ɾˠ d̪ˠ ə hʲ ə
m'orduithe	mˠ a ɾˠ d̪ˠ ə hʲ ə
b'órga	ˈ bˠ oː ɾˠ  ɡ ə
n-órga	ˈ n̻ˠ oː ɾˠ  ɡ ə
t-orlach	ˈ t̪ˠ oː ɾˠ  l̻ˠ a h
b'orlach	ˈ bˠ oː ɾˠ  l̻ˠ a h
n-orlach	ˈ n̻ˠ oː ɾˠ  l̻ˠ a h
d'orlach	ˈ d̪ˠ oː ɾˠ  l̻ˠ a h
m'orlach	ˈ mˠ oː ɾˠ  l̻ˠ a h
b'orthaí	bˠ a ɾ̥ˠ iː
n-orthaí	n̻ˠ a ɾ̥ˠ iː
d'orthaí	d̪ˠ a ɾ̥ˠ iː
m'orthaí	mˠ a ɾ̥ˠ iː
b'ósais	ˈ bˠ oː  sˠ ə ʃ
n-ósais	ˈ n̻ˠ oː  sˠ ə ʃ
d'ósais	ˈ d̪ˠ oː  sˠ ə ʃ
m'ósais	ˈ mˠ oː  sˠ ə ʃ
b'oscair	bˠ a sˠ k ə ɾʲ
n-oscair	n̻ˠ a sˠ k ə ɾʲ
d'oscair	d̪ˠ a sˠ k ə ɾʲ
m'oscair	mˠ a sˠ k ə ɾʲ
t-oscar	t̪ˠ a sˠ k ə ɾˠ
b'oscar	bˠ a sˠ k ə ɾˠ
n-oscar	n̻ˠ a sˠ k ə ɾˠ
d'oscar	d̪ˠ a sˠ k ə ɾˠ
m'oscar	mˠ a sˠ k ə ɾˠ
n-osclaím	n̻ˠ a sˠ k l̻ˠ iː mʲ
n-osclaíonn	n̻ˠ a sˠ k l̻ˠ ia n̻ˠ
n-osclóidh	n̻ˠ a sˠ k l̻ˠ o j
n-osclóimid	n̻ˠ a sˠ k l̻ˠ oː mʲ i dʲ
t-osclóir	ˈ t̪ˠ o sˠ  k l̻ˠ o ɾʲ
b'osclóir	ˈ bˠ o sˠ  k l̻ˠ o ɾʲ
n-osclóir	ˈ n̻ˠ o sˠ  k l̻ˠ o ɾʲ
d'osclóir	ˈ d̪ˠ o sˠ  k l̻ˠ o ɾʲ
m'osclóir	ˈ mˠ o sˠ  k l̻ˠ o ɾʲ
b'ostraise	bˠ a sˠ t̪ˠ ɾˠ ə ʃ ə
n-ostraise	n̻ˠ a sˠ t̪ˠ ɾˠ ə ʃ ə
d'ostraise	d̪ˠ a sˠ t̪ˠ ɾˠ ə ʃ ə
m'ostraise	mˠ a sˠ t̪ˠ ɾˠ ə ʃ ə
b'oth	ˈ bˠ o h
n-oth	ˈ n̻ˠ o h
d'oth	ˈ d̪ˠ o h
m'oth	ˈ mˠ o h
b'uafásacha	bˠ ua fˠ aː sˠ a h ə
n-uafásacha	n̻ˠ ua fˠ aː sˠ a h ə
b'uaigh	ˈ bˠ ua j
n-uaigh	ˈ n̻ˠ ua j
d'uaigh	ˈ d̪ˠ ua j
m'uaigh	ˈ mˠ ua j
t-uaigneas	ˈ t̪ˠ ua ɟ  nʲ ə sˠ
b'uaigneas	ˈ bˠ ua ɟ  nʲ ə sˠ
n-uaigneas	ˈ n̻ˠ ua ɟ  nʲ ə sˠ
d'uaigneas	ˈ d̪ˠ ua ɟ  nʲ ə sˠ
m'uaigneas	ˈ mˠ ua ɟ  nʲ ə sˠ
b'uaill	ˈ bˠ ua l̻ʲ
n-uaill	ˈ n̻ˠ ua l̻ʲ
d'uaill	ˈ d̪ˠ ua l̻ʲ
m'uaill	ˈ mˠ ua l̻ʲ
b'uaimh	ˈ bˠ ua vʲ
n-uaimh	ˈ n̻ˠ ua vʲ
d'uaimh	ˈ d̪ˠ ua vʲ
m'uaimh	ˈ mˠ ua vʲ
b'uaire	bˠ ua ɾʲ ə
n-uaire	n̻ˠ ua ɾʲ ə
d'uaire	d̪ˠ ua ɾʲ ə
m'uaire	mˠ ua ɾʲ ə
t-uaireadóirí	t̪ˠ ua ɾʲ ə d̪ˠ oː ɾʲ iː
b'uaireadóirí	bˠ ua ɾʲ ə d̪ˠ oː ɾʲ iː
n-uaireadóirí	n̻ˠ ua ɾʲ ə d̪ˠ oː ɾʲ iː
d'uaireadóirí	d̪ˠ ua ɾʲ ə d̪ˠ oː ɾʲ iː
m'uaireadóirí	mˠ ua ɾʲ ə d̪ˠ oː ɾʲ iː
b'uaisleacht	ˈ bˠ ua ʃ  lʲ a x t̪ˠ
n-uaisleacht	ˈ n̻ˠ ua ʃ  lʲ a x t̪ˠ
d'uaisleacht	ˈ d̪ˠ ua ʃ  lʲ a x t̪ˠ
m'uaisleacht	ˈ mˠ ua ʃ  lʲ a x t̪ˠ
b'ualaí	bˠ ua l̻ˠ iː
n-ualaí	n̻ˠ ua l̻ˠ iː
d'ualaí	d̪ˠ ua l̻ˠ iː
m'ualaí	mˠ ua l̻ˠ iː
b'uallach	ˈ bˠ ua  l̻ˠ a h
n-uallach	ˈ n̻ˠ ua  l̻ˠ a h
b'uallacha	bˠ ua l̻ˠ a h ə
n-uallacha	n̻ˠ ua l̻ˠ a h ə
b'uallfartach	ˈ bˠ ua l̻ˠ  fˠ ə ɾˠ  t̪ˠ a h
n-uallfartach	ˈ n̻ˠ ua l̻ˠ  fˠ ə ɾˠ  t̪ˠ a h
d'uallfartach	ˈ d̪ˠ ua l̻ˠ  fˠ ə ɾˠ  t̪ˠ a h
m'uallfartach	ˈ mˠ ua l̻ˠ  fˠ ə ɾˠ  t̪ˠ a h
b'uasail	ˈ bˠ ua  sˠ ə lʲ
n-uasail	ˈ n̻ˠ ua  sˠ ə lʲ
d'uasail	ˈ d̪ˠ ua  sˠ ə lʲ
m'uasail	ˈ mˠ ua  sˠ ə lʲ
t-ubhthoradh	t̪ˠ uː h ə ɾˠ uː
b'ubhthoradh	bˠ uː h ə ɾˠ uː
n-ubhthoradh	n̻ˠ uː h ə ɾˠ uː
d'ubhthoradh	d̪ˠ uː h ə ɾˠ uː
m'ubhthoradh	mˠ uː h ə ɾˠ uː
b'údaráis	bˠ uː d̪ˠ ə ɾˠ a ʃ
n-údaráis	n̻ˠ uː d̪ˠ ə ɾˠ a ʃ
d'údaráis	d̪ˠ uː d̪ˠ ə ɾˠ a ʃ
m'údaráis	mˠ uː d̪ˠ ə ɾˠ a ʃ
b'údarásach	ˈ bˠ uː  d̪ˠ ə  ɾˠ a  sˠ a h
n-údarásach	ˈ n̻ˠ uː  d̪ˠ ə  ɾˠ a  sˠ a h
b'uibhe	bˠ i vʲ ə
n-uibhe	n̻ˠ i vʲ ə
d'uibhe	d̪ˠ i vʲ ə
m'uibhe	mˠ i vʲ ə
b'uibheacha	ˈ bˠ i  vʲ a  h ə
n-uibheacha	ˈ n̻ˠ i  vʲ a  h ə
d'uibheacha	ˈ d̪ˠ i  vʲ a  h ə
m'uibheacha	ˈ mˠ i  vʲ a  h ə
t-uibheagán	ˈ t̪ˠ i  vʲ ə  ɡ a n̻ˠ
b'uibheagán	ˈ bˠ i  vʲ ə  ɡ a n̻ˠ
n-uibheagán	ˈ n̻ˠ i  vʲ ə  ɡ a n̻ˠ
d'uibheagán	ˈ d̪ˠ i  vʲ ə  ɡ a n̻ˠ
m'uibheagán	ˈ mˠ i  vʲ ə  ɡ a n̻ˠ
b'uilechumhachtach	ˈ bˠ i  lʲ a ˈ x u a ɾˠ  t̪ˠ a h
n-uilechumhachtach	ˈ n̻ˠ i  lʲ a ˈ x u a ɾˠ  t̪ˠ a h
b'úill	bˠ uː l̻ʲ
n-úill	n̻ˠ uː l̻ʲ
d'úill	d̪ˠ uː l̻ʲ
m'úill	mˠ uː l̻ʲ
b'úinéirí	bˠ uː nʲ eː ɾʲ iː
n-úinéirí	n̻ˠ uː nʲ eː ɾʲ iː
d'úinéirí	d̪ˠ uː nʲ eː ɾʲ iː
m'úinéirí	mˠ uː nʲ eː ɾʲ iː
b'uirbeacha	bˠ i ɾʲ ə bʲ a h ə
n-uirbeacha	n̻ˠ i ɾʲ ə bʲ a h ə
b'uisceadáin	bˠ i ʃ c ə d̪ˠ a nʲ
n-uisceadáin	n̻ˠ i ʃ c ə d̪ˠ a nʲ
d'uisceadáin	d̪ˠ i ʃ c ə d̪ˠ a nʲ
m'uisceadáin	mˠ i ʃ c ə d̪ˠ a nʲ
b'uiscedhíonach	ˈ bˠ i ʃ  c ə  j i  n̻ˠ a h
n-uiscedhíonach	ˈ n̻ˠ i ʃ  c ə  j i  n̻ˠ a h
b'ulchabháin	bˠ u l̻ˠ ə x oː a nʲ
n-ulchabháin	n̻ˠ u l̻ˠ ə x oː a nʲ
d'ulchabháin	d̪ˠ u l̻ˠ ə x oː a nʲ
m'ulchabháin	mˠ u l̻ˠ ə x oː a nʲ
t-ulchabhán	ˈ t̪ˠ u  l̻ˠ a  h au  a n̻ˠ
b'ulchabhán	ˈ bˠ u  l̻ˠ a  h au  a n̻ˠ
n-ulchabhán	ˈ n̻ˠ u  l̻ˠ a  h au  a n̻ˠ
d'ulchabhán	ˈ d̪ˠ u  l̻ˠ a  h au  a n̻ˠ
m'ulchabhán	ˈ mˠ u  l̻ˠ a  h au  a n̻ˠ
b'úlla	ˈ bˠ uː  l̻ˠ ə
n-úlla	ˈ n̻ˠ uː  l̻ˠ ə
d'úlla	ˈ d̪ˠ uː  l̻ˠ ə
m'úlla	ˈ mˠ uː  l̻ˠ ə
b'ullmhaithe	bˠ u l̻ˠ ə vˠ iː
n-ullmhaithe	n̻ˠ u l̻ˠ ə vˠ iː
d'ullmhaithe	d̪ˠ u l̻ˠ ə vˠ iː
m'ullmhaithe	mˠ u l̻ˠ ə vˠ iː
n-ullmhóidh	n̻ˠ u l̻ˠ ə vˠ o j
t-ullmhú	t̪ˠ u l̻ˠ ə vˠ uː
b'ullmhú	bˠ u l̻ˠ ə vˠ uː
n-ullmhú	n̻ˠ u l̻ˠ ə vˠ uː
d'ullmhú	d̪ˠ u l̻ˠ ə vˠ uː
m'ullmhú	mˠ u l̻ˠ ə vˠ uː
t-ullmhúchán	ˈ t̪ˠ u  l̻ˠ ə  vˠ u  h a n̻ˠ
b'ullmhúchán	ˈ bˠ u  l̻ˠ ə  vˠ u  h a n̻ˠ
n-ullmhúchán	ˈ n̻ˠ u  l̻ˠ ə  vˠ u  h a n̻ˠ
d'ullmhúchán	ˈ d̪ˠ u  l̻ˠ ə  vˠ u  h a n̻ˠ
m'ullmhúchán	ˈ mˠ u  l̻ˠ ə  vˠ u  h a n̻ˠ
b'umair	bˠ u mˠ ə ɾʲ
n-umair	n̻ˠ u mˠ ə ɾʲ
d'umair	d̪ˠ u mˠ ə ɾʲ
m'umair	mˠ u mˠ ə ɾʲ
b'ura	bˠ u ɾˠ ə
n-ura	n̻ˠ u ɾˠ ə
d'ura	d̪ˠ u ɾˠ ə
m'ura	mˠ u ɾˠ ə
b'úra	ˈ bˠ uː  ɾˠ ə
n-úra	ˈ n̻ˠ uː  ɾˠ ə
b'urraíochta	bˠ u ɾˠ ia h t̪ˠ ə
n-urraíochta	n̻ˠ u ɾˠ ia h t̪ˠ ə
d'urraíochta	d̪ˠ u ɾˠ ia h t̪ˠ ə
m'urraíochta	mˠ u ɾˠ ia h t̪ˠ ə
b'úsáide	bˠ uː sˠ aː dʲ ə
n-úsáide	n̻ˠ uː sˠ aː dʲ ə
d'úsáide	d̪ˠ uː sˠ aː dʲ ə
m'úsáide	mˠ uː sˠ aː dʲ ə
b'úsáideacha	bˠ uː sˠ aː dʲ a h ə
n-úsáideacha	n̻ˠ uː sˠ aː dʲ a h ə
n-úsáideann	n̻ˠ uː sˠ aː dʲ ə n̻ˠ
n-úsáidfidh	n̻ˠ uː sˠ aː tʲ iː
n-úsáidfimid	n̻ˠ uː sˠ aː tʲ i mʲ i dʲ
n-úsáidim	n̻ˠ uː sˠ aː dʲ i mʲ
n-úsáidimid	n̻ˠ uː sˠ aː dʲ i mʲ i dʲ
n-úsáidtear	n̻ˠ uː sˠ aː tʲ ə ɾˠ
n-aontaíomar	n̻ˠ iː n̻ˠ t̪ˠ ia mˠ ə ɾˠ
d'aontaíomar	d̪ˠ iː n̻ˠ t̪ˠ ia mˠ ə ɾˠ
d'fhanfadh	d̪ˠ a n̻̊ˠ uː
d'fhostaigh	d̪ˠ a sˠ t̪ˠ iː
t-easpórtáil	ˈ tʲ a sˠ  pˠ oː ɾˠ  t̪ˠ aː lʲ
b'easpórtáil	ˈ bʲ a sˠ  pˠ oː ɾˠ  t̪ˠ aː lʲ
n-easpórtáil	ˈ nʲ a sˠ  pˠ oː ɾˠ  t̪ˠ aː lʲ
d'easpórtáil	ˈ dʲ a sˠ  pˠ oː ɾˠ  t̪ˠ aː lʲ
m'easpórtáil	ˈ mʲ a sˠ  pˠ oː ɾˠ  t̪ˠ aː lʲ
b'eisithe	bʲ e ʃ iː
n-eisithe	nʲ e ʃ iː
d'eisithe	dʲ e ʃ iː
m'eisithe	mʲ e ʃ iː
b'iarrthóirí	bʲ ia ɾ̥ˠ oː ɾʲ iː
n-iarrthóirí	nʲ ia ɾ̥ˠ oː ɾʲ iː
d'iarrthóirí	dʲ ia ɾ̥ˠ oː ɾʲ iː
m'iarrthóirí	mʲ ia ɾ̥ˠ oː ɾʲ iː
t-iomaire	ˈ tʲ i  mˠ ə  ɾʲ ə
b'iomaire	ˈ bʲ i  mˠ ə  ɾʲ ə
n-iomaire	ˈ nʲ i  mˠ ə  ɾʲ ə
d'iomaire	ˈ dʲ i  mˠ ə  ɾʲ ə
m'iomaire	ˈ mʲ i  mˠ ə  ɾʲ ə
b'oifigigh	bˠ o fʲ i ɟ iː
n-oifigigh	n̻ˠ o fʲ i ɟ iː
d'oifigigh	d̪ˠ o fʲ i ɟ iː
m'oifigigh	mˠ o fʲ i ɟ iː
b'olltáirgeacht	ˈ bˠ o l̻ˠ ˈ t̪ˠ a ɾʲ  ɟ a x t̪ˠ
n-olltáirgeacht	ˈ n̻ˠ o l̻ˠ ˈ t̪ˠ a ɾʲ  ɟ a x t̪ˠ
d'olltáirgeacht	ˈ d̪ˠ o l̻ˠ ˈ t̪ˠ a ɾʲ  ɟ a x t̪ˠ
m'olltáirgeacht	ˈ mˠ o l̻ˠ ˈ t̪ˠ a ɾʲ  ɟ a x t̪ˠ
b'olltoghcháin	bˠ a l̻ˠ t̪ˠ eː h a nʲ
n-olltoghcháin	n̻ˠ a l̻ˠ t̪ˠ eː h a nʲ
d'olltoghcháin	d̪ˠ a l̻ˠ t̪ˠ eː h a nʲ
m'olltoghcháin	mˠ a l̻ˠ t̪ˠ eː h a nʲ
b'urlabhraithe	bˠ u ɾˠ l̻ˠ oː ɾˠ iː
n-urlabhraithe	n̻ˠ u ɾˠ l̻ˠ oː ɾˠ iː
d'urlabhraithe	d̪ˠ u ɾˠ l̻ˠ oː ɾˠ iː
m'urlabhraithe	mˠ u ɾˠ l̻ˠ oː ɾˠ iː
b'anamacha	bˠ a n̻ˠ ə mˠ a h ə
n-anamacha	n̻ˠ a n̻ˠ ə mˠ a h ə
d'anamacha	d̪ˠ a n̻ˠ ə mˠ a h ə
m'anamacha	mˠ a n̻ˠ ə mˠ a h ə
b'fhéilire	bʲ eː lʲ i ɾʲ ə
d'fhéilire	dʲ eː lʲ i ɾʲ ə
m'fhéilire	mʲ eː lʲ i ɾʲ ə
b'ózóin	bˠ oː zˠ o nʲ
n-ózóin	n̻ˠ oː zˠ o nʲ
d'ózóin	d̪ˠ oː zˠ o nʲ
m'ózóin	mˠ oː zˠ o nʲ
t-ózón	ˈ t̪ˠ oː  zˠ o n̻ˠ
b'ózón	ˈ bˠ oː  zˠ o n̻ˠ
n-ózón	ˈ n̻ˠ oː  zˠ o n̻ˠ
d'ózón	ˈ d̪ˠ oː  zˠ o n̻ˠ
m'ózón	ˈ mˠ oː  zˠ o n̻ˠ
b'aba	bˠ a bˠ ə
n-aba	n̻ˠ a bˠ ə
d'aba	d̪ˠ a bˠ ə
m'aba	mˠ a bˠ ə
b'abacais	bˠ a bˠ ə k ə ʃ
n-abacais	n̻ˠ a bˠ ə k ə ʃ
d'abacais	d̪ˠ a bˠ ə k ə ʃ
m'abacais	mˠ a bˠ ə k ə ʃ
t-abacas	t̪ˠ a bˠ ə k ə sˠ
b'abacas	bˠ a bˠ ə k ə sˠ
n-abacas	n̻ˠ a bˠ ə k ə sˠ
d'abacas	d̪ˠ a bˠ ə k ə sˠ
m'abacas	mˠ a bˠ ə k ə sˠ
b'abacht	bˠ a bˠ a ɾˠ t̪ˠ
n-abacht	n̻ˠ a bˠ a ɾˠ t̪ˠ
d'abacht	d̪ˠ a bˠ a ɾˠ t̪ˠ
m'abacht	mˠ a bˠ a ɾˠ t̪ˠ
b'abachta	bˠ a bˠ ə ɾˠ t̪ˠ ə
n-abachta	n̻ˠ a bˠ ə ɾˠ t̪ˠ ə
d'abachta	d̪ˠ a bˠ ə ɾˠ t̪ˠ ə
m'abachta	mˠ a bˠ ə ɾˠ t̪ˠ ə
b'abaí	bˠ a bˠ iː
n-abaí	n̻ˠ a bˠ iː
d'abaí	d̪ˠ a bˠ iː
m'abaí	mˠ a bˠ iː
b'abairte	bˠ a bˠ ə ɾˠ tʲ ə
n-abairte	n̻ˠ a bˠ ə ɾˠ tʲ ə
d'abairte	d̪ˠ a bˠ ə ɾˠ tʲ ə
m'abairte	mˠ a bˠ ə ɾˠ tʲ ə
n-abairtear	n̻ˠ a bˠ ə ɾˠ tʲ ə ɾˠ
b'abairtí	bˠ a bˠ ə ɾˠ tʲ iː
n-abairtí	n̻ˠ a bˠ ə ɾˠ tʲ iː
d'abairtí	d̪ˠ a bˠ ə ɾˠ tʲ iː
m'abairtí	mˠ a bˠ ə ɾˠ tʲ iː
b'ábaltachta	bˠ aː bˠ ə l̻ˠ t̪ˠ ə ɾˠ t̪ˠ ə
n-ábaltachta	n̻ˠ aː bˠ ə l̻ˠ t̪ˠ ə ɾˠ t̪ˠ ə
d'ábaltachta	d̪ˠ aː bˠ ə l̻ˠ t̪ˠ ə ɾˠ t̪ˠ ə
m'ábaltachta	mˠ aː bˠ ə l̻ˠ t̪ˠ ə ɾˠ t̪ˠ ə
b'abartha	ˈ bˠ a  bˠ ə ɾˠ  h ə
n-abartha	ˈ n̻ˠ a  bˠ ə ɾˠ  h ə
b'abarthacht	ˈ bˠ a  bˠ ə ɾˠ  h a x t̪ˠ
n-abarthacht	ˈ n̻ˠ a  bˠ ə ɾˠ  h a x t̪ˠ
d'abarthacht	ˈ d̪ˠ a  bˠ ə ɾˠ  h a x t̪ˠ
m'abarthacht	ˈ mˠ a  bˠ ə ɾˠ  h a x t̪ˠ
b'abarthachta	bˠ a bˠ ə ɾ̥ˠ ə ɾˠ t̪ˠ ə
n-abarthachta	n̻ˠ a bˠ ə ɾ̥ˠ ə ɾˠ t̪ˠ ə
d'abarthachta	d̪ˠ a bˠ ə ɾ̥ˠ ə ɾˠ t̪ˠ ə
m'abarthachta	mˠ a bˠ ə ɾ̥ˠ ə ɾˠ t̪ˠ ə
t-ábhach	ˈ t̪ˠ aː  vˠ a h
b'ábhach	ˈ bˠ aː  vˠ a h
n-ábhach	ˈ n̻ˠ aː  vˠ a h
d'ábhach	ˈ d̪ˠ aː  vˠ a h
m'ábhach	ˈ mˠ aː  vˠ a h
b'ábhacht	ˈ bˠ aː  vˠ a x t̪ˠ
n-ábhacht	ˈ n̻ˠ aː  vˠ a x t̪ˠ
d'ábhacht	ˈ d̪ˠ aː  vˠ a x t̪ˠ
m'ábhacht	ˈ mˠ aː  vˠ a x t̪ˠ
b'ábhachta	bˠ aː vˠ ə ɾˠ t̪ˠ ə
n-ábhachta	n̻ˠ aː vˠ ə ɾˠ t̪ˠ ə
d'ábhachta	d̪ˠ aː vˠ ə ɾˠ t̪ˠ ə
m'ábhachta	mˠ aː vˠ ə ɾˠ t̪ˠ ə
b'abhaic	bˠ oː c
n-abhaic	n̻ˠ oː c
d'abhaic	d̪ˠ oː c
m'abhaic	mˠ oː c
b'ábhaigh	bˠ aː vˠ iː
n-ábhaigh	n̻ˠ aː vˠ iː
d'ábhaigh	d̪ˠ aː vˠ iː
m'ábhaigh	mˠ aː vˠ iː
b'ábhail	bˠ aː vˠ ə lʲ
n-ábhail	n̻ˠ aː vˠ ə lʲ
b'ábhailleach	ˈ bˠ aː  vˠ ə  l̻ʲ a h
n-ábhailleach	ˈ n̻ˠ aː  vˠ ə  l̻ʲ a h
b'ábhailleacha	bˠ aː vˠ ə l̻ʲ a h ə
n-ábhailleacha	n̻ˠ aː vˠ ə l̻ʲ a h ə
b'ábhaillí	ˈ bˠ aː  vˠ ə  l̻ʲ iː
n-ábhaillí	ˈ n̻ˠ aː  vˠ ə  l̻ʲ iː
d'ábhaillí	ˈ d̪ˠ aː  vˠ ə  l̻ʲ iː
m'ábhaillí	ˈ mˠ aː  vˠ ə  l̻ʲ iː
b'ábhailligh	bˠ aː vˠ ə l̻ʲ iː
n-ábhailligh	n̻ˠ aː vˠ ə l̻ʲ iː
b'ábhal	ˈ bˠ aː  vˠ ə l̻ˠ
n-ábhal	ˈ n̻ˠ aː  vˠ ə l̻ˠ
b'ábhalmhóir	bˠ aː vˠ ə l̻ˠ ə vˠ o ɾʲ
n-ábhalmhóir	n̻ˠ aː vˠ ə l̻ˠ ə vˠ o ɾʲ
b'ábhalmhóire	bˠ aː vˠ ə l̻ˠ ə vˠ oː ɾʲ ə
n-ábhalmhóire	n̻ˠ aː vˠ ə l̻ˠ ə vˠ oː ɾʲ ə
b'ábhalmhóra	bˠ aː vˠ ə l̻ˠ ə vˠ oː ɾˠ ə
n-ábhalmhóra	n̻ˠ aː vˠ ə l̻ˠ ə vˠ oː ɾˠ ə
b'abhantracha	bˠ oː n̻ˠ t̪ˠ ɾˠ a h ə
n-abhantracha	n̻ˠ oː n̻ˠ t̪ˠ ɾˠ a h ə
d'abhantracha	d̪ˠ oː n̻ˠ t̪ˠ ɾˠ a h ə
m'abhantracha	mˠ oː n̻ˠ t̪ˠ ɾˠ a h ə
b'abhantraí	bˠ oː n̻ˠ t̪ˠ ɾˠ iː
n-abhantraí	n̻ˠ oː n̻ˠ t̪ˠ ɾˠ iː
d'abhantraí	d̪ˠ oː n̻ˠ t̪ˠ ɾˠ iː
m'abhantraí	mˠ oː n̻ˠ t̪ˠ ɾˠ iː
b'ábharachais	bˠ aː vˠ ə ɾˠ ə h ə ʃ
n-ábharachais	n̻ˠ aː vˠ ə ɾˠ ə h ə ʃ
d'ábharachais	d̪ˠ aː vˠ ə ɾˠ ə h ə ʃ
m'ábharachais	mˠ aː vˠ ə ɾˠ ə h ə ʃ
t-ábharaí	t̪ˠ aː vˠ ə ɾˠ iː
b'ábharaí	bˠ aː vˠ ə ɾˠ iː
n-ábharaí	n̻ˠ aː vˠ ə ɾˠ iː
d'ábharaí	d̪ˠ aː vˠ ə ɾˠ iː
m'ábharaí	mˠ aː vˠ ə ɾˠ iː
b'ábharaíche	bˠ aː vˠ ə ɾˠ iː hʲ ə
n-ábharaíche	n̻ˠ aː vˠ ə ɾˠ iː hʲ ə
b'ábharaíoch	bˠ aː vˠ ə ɾˠ ia h
n-ábharaíoch	n̻ˠ aː vˠ ə ɾˠ ia h
b'ábharaíocha	bˠ aː vˠ ə ɾˠ ia h ə
n-ábharaíocha	n̻ˠ aː vˠ ə ɾˠ ia h ə
b'ábharaithe	bˠ aː vˠ ə ɾˠ iː
n-ábharaithe	n̻ˠ aː vˠ ə ɾˠ iː
d'ábharaithe	d̪ˠ aː vˠ ə ɾˠ iː
m'ábharaithe	mˠ aː vˠ ə ɾˠ iː
b'ábharthacht	bˠ aː vˠ ə ɾ̥ˠ a ɾˠ t̪ˠ
n-ábharthacht	n̻ˠ aː vˠ ə ɾ̥ˠ a ɾˠ t̪ˠ
d'ábharthacht	d̪ˠ aː vˠ ə ɾ̥ˠ a ɾˠ t̪ˠ
m'ábharthacht	mˠ aː vˠ ə ɾ̥ˠ a ɾˠ t̪ˠ
b'ábharthachta	bˠ aː vˠ ə ɾ̥ˠ ə ɾˠ t̪ˠ ə
n-ábharthachta	n̻ˠ aː vˠ ə ɾ̥ˠ ə ɾˠ t̪ˠ ə
d'ábharthachta	d̪ˠ aː vˠ ə ɾ̥ˠ ə ɾˠ t̪ˠ ə
m'ábharthachta	mˠ aː vˠ ə ɾ̥ˠ ə ɾˠ t̪ˠ ə
b'abhcach	ˈ bˠ oː  k a h
n-abhcach	ˈ n̻ˠ oː  k a h
b'abhcacha	bˠ oː k a h ə
n-abhcacha	n̻ˠ oː k a h ə
b'abhcaí	bˠ oː k iː
n-abhcaí	n̻ˠ oː k iː
b'abhcaigh	bˠ oː k iː
n-abhcaigh	n̻ˠ oː k iː
b'abhcóideacht	bˠ oː k oː dʲ a ɾˠ t̪ˠ
n-abhcóideacht	n̻ˠ oː k oː dʲ a ɾˠ t̪ˠ
d'abhcóideacht	d̪ˠ oː k oː dʲ a ɾˠ t̪ˠ
m'abhcóideacht	mˠ oː k oː dʲ a ɾˠ t̪ˠ
b'abhcóideachta	bˠ oː k oː dʲ ə ɾˠ t̪ˠ ə
n-abhcóideachta	n̻ˠ oː k oː dʲ ə ɾˠ t̪ˠ ə
d'abhcóideachta	d̪ˠ oː k oː dʲ ə ɾˠ t̪ˠ ə
m'abhcóideachta	mˠ oː k oː dʲ ə ɾˠ t̪ˠ ə
b'abhcóidí	bˠ oː k oː dʲ iː
n-abhcóidí	n̻ˠ oː k oː dʲ iː
d'abhcóidí	d̪ˠ oː k oː dʲ iː
m'abhcóidí	mˠ oː k oː dʲ iː
b'abhla	bˠ oː l̻ˠ ə
n-abhla	n̻ˠ oː l̻ˠ ə
d'abhla	d̪ˠ oː l̻ˠ ə
m'abhla	mˠ oː l̻ˠ ə
b'abhlacha	bˠ oː l̻ˠ a h ə
n-abhlacha	n̻ˠ oː l̻ˠ a h ə
d'abhlacha	d̪ˠ oː l̻ˠ a h ə
m'abhlacha	mˠ oː l̻ˠ a h ə
b'abhlainne	bˠ oː l̻ˠ ə n̻ʲ ə
n-abhlainne	n̻ˠ oː l̻ˠ ə n̻ʲ ə
d'abhlainne	d̪ˠ oː l̻ˠ ə n̻ʲ ə
m'abhlainne	mˠ oː l̻ˠ ə n̻ʲ ə
b'abhlanna	bˠ oː l̻ˠ ə n̻ˠ ə
n-abhlanna	n̻ˠ oː l̻ˠ ə n̻ˠ ə
d'abhlanna	d̪ˠ oː l̻ˠ ə n̻ˠ ə
m'abhlanna	mˠ oː l̻ˠ ə n̻ˠ ə
b'abhlóireacht	bˠ oː l̻ˠ oː ɾʲ a ɾˠ t̪ˠ
n-abhlóireacht	n̻ˠ oː l̻ˠ oː ɾʲ a ɾˠ t̪ˠ
